Images,chosen,rejected
"['kitchen1/0/Action_0175_0_normal.png', 'kitchen1/0/Action_0188_0_normal.png', 'kitchen1/0/Action_0200_0_normal.png', 'kitchen1/0/Action_0213_0_normal.png', 'kitchen1/0/Action_0225_0_normal.png', 'kitchen1/0/Action_0238_0_normal.png']","['(female1, stand, kitchentable) (male1, close, microwave)', '(female1, walk , kitchencounter) (male1, close, microwave)', '(female1, walk, kitchencounter) (male1, open, microwave)', '(female1, stand, sink) (male1, open, microwave)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, grab, salmon)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, stand , sink), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0188_0_normal.png', 'kitchen1/0/Action_0200_0_normal.png', 'kitchen1/0/Action_0213_0_normal.png', 'kitchen1/0/Action_0225_0_normal.png', 'kitchen1/0/Action_0238_0_normal.png', 'kitchen1/0/Action_0250_0_normal.png']","['(female1, walk , kitchencounter) (male1, close, microwave)', '(female1, walk, kitchencounter) (male1, open, microwave)', '(female1, stand, sink) (male1, open, microwave)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, close, microwave)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0200_0_normal.png', 'kitchen1/0/Action_0213_0_normal.png', 'kitchen1/0/Action_0225_0_normal.png', 'kitchen1/0/Action_0238_0_normal.png', 'kitchen1/0/Action_0250_0_normal.png', 'kitchen1/0/Action_0263_0_normal.png']","['(female1, walk, kitchencounter) (male1, open, microwave)', '(female1, stand, sink) (male1, open, microwave)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, close, microwave)', '(female1, stand, sink) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0213_0_normal.png', 'kitchen1/0/Action_0225_0_normal.png', 'kitchen1/0/Action_0238_0_normal.png', 'kitchen1/0/Action_0250_0_normal.png', 'kitchen1/0/Action_0263_0_normal.png', 'kitchen1/0/Action_0275_0_normal.png']","['(female1, stand, sink) (male1, open, microwave)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, close, microwave)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, switchon, faucet) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0225_0_normal.png', 'kitchen1/0/Action_0238_0_normal.png', 'kitchen1/0/Action_0250_0_normal.png', 'kitchen1/0/Action_0263_0_normal.png', 'kitchen1/0/Action_0275_0_normal.png', 'kitchen1/0/Action_0288_0_normal.png']","['(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, close, microwave)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, switchon, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0238_0_normal.png', 'kitchen1/0/Action_0250_0_normal.png', 'kitchen1/0/Action_0263_0_normal.png', 'kitchen1/0/Action_0275_0_normal.png', 'kitchen1/0/Action_0288_0_normal.png', 'kitchen1/0/Action_0300_0_normal.png']","['(female1, stand, sink) (male1, grab, salmon)', '(female1, stand, sink) (male1, close, microwave)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, switchon, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0250_0_normal.png', 'kitchen1/0/Action_0263_0_normal.png', 'kitchen1/0/Action_0275_0_normal.png', 'kitchen1/0/Action_0288_0_normal.png', 'kitchen1/0/Action_0300_0_normal.png', 'kitchen1/0/Action_0313_0_normal.png']","['(female1, stand, sink) (male1, close, microwave)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, switchon, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, stand, sink) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0263_0_normal.png', 'kitchen1/0/Action_0275_0_normal.png', 'kitchen1/0/Action_0288_0_normal.png', 'kitchen1/0/Action_0300_0_normal.png', 'kitchen1/0/Action_0313_0_normal.png', 'kitchen1/0/Action_0325_0_normal.png']","['(female1, stand, sink) (male1, walk, kitchentable)', '(female1, switchon, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, grab , milkshake) (male1, stand, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0275_0_normal.png', 'kitchen1/0/Action_0288_0_normal.png', 'kitchen1/0/Action_0300_0_normal.png', 'kitchen1/0/Action_0313_0_normal.png', 'kitchen1/0/Action_0325_0_normal.png', 'kitchen1/0/Action_0338_0_normal.png']","['(female1, switchon, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, grab , milkshake) (male1, stand, kitchentable)', '(female1, grab , milkshake) (male1, grab, glass)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0288_0_normal.png', 'kitchen1/0/Action_0300_0_normal.png', 'kitchen1/0/Action_0313_0_normal.png', 'kitchen1/0/Action_0325_0_normal.png', 'kitchen1/0/Action_0338_0_normal.png', 'kitchen1/0/Action_0350_0_normal.png']","['(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, grab , milkshake) (male1, stand, kitchentable)', '(female1, grab , milkshake) (male1, grab, glass)', '(female1, walk, kitchentable) (male1, stand, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0300_0_normal.png', 'kitchen1/0/Action_0313_0_normal.png', 'kitchen1/0/Action_0325_0_normal.png', 'kitchen1/0/Action_0338_0_normal.png', 'kitchen1/0/Action_0350_0_normal.png', 'kitchen1/0/Action_0363_0_normal.png']","['(female1, switchoff, faucet) (male1, walk, kitchentable)', '(female1, stand, sink) (male1, walk, kitchentable)', '(female1, grab , milkshake) (male1, stand, kitchentable)', '(female1, grab , milkshake) (male1, grab, glass)', '(female1, walk, kitchentable) (male1, stand, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0313_0_normal.png', 'kitchen1/0/Action_0325_0_normal.png', 'kitchen1/0/Action_0338_0_normal.png', 'kitchen1/0/Action_0350_0_normal.png', 'kitchen1/0/Action_0363_0_normal.png', 'kitchen1/0/Action_0375_0_normal.png']","['(female1, stand, sink) (male1, walk, kitchentable)', '(female1, grab , milkshake) (male1, stand, kitchentable)', '(female1, grab , milkshake) (male1, grab, glass)', '(female1, walk, kitchentable) (male1, stand, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0325_0_normal.png', 'kitchen1/0/Action_0338_0_normal.png', 'kitchen1/0/Action_0350_0_normal.png', 'kitchen1/0/Action_0363_0_normal.png', 'kitchen1/0/Action_0375_0_normal.png', 'kitchen1/0/Action_0388_0_normal.png']","['(female1, grab , milkshake) (male1, stand, kitchentable)', '(female1, grab , milkshake) (male1, grab, glass)', '(female1, walk, kitchentable) (male1, stand, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0338_0_normal.png', 'kitchen1/0/Action_0350_0_normal.png', 'kitchen1/0/Action_0363_0_normal.png', 'kitchen1/0/Action_0375_0_normal.png', 'kitchen1/0/Action_0388_0_normal.png', 'kitchen1/0/Action_0400_0_normal.png']","['(female1, grab , milkshake) (male1, grab, glass)', '(female1, walk, kitchentable) (male1, stand, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0350_0_normal.png', 'kitchen1/0/Action_0363_0_normal.png', 'kitchen1/0/Action_0375_0_normal.png', 'kitchen1/0/Action_0388_0_normal.png', 'kitchen1/0/Action_0400_0_normal.png', 'kitchen1/0/Action_0413_0_normal.png']","['(female1, walk, kitchentable) (male1, stand, kitchentable)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0363_0_normal.png', 'kitchen1/0/Action_0375_0_normal.png', 'kitchen1/0/Action_0388_0_normal.png', 'kitchen1/0/Action_0400_0_normal.png', 'kitchen1/0/Action_0413_0_normal.png', 'kitchen1/0/Action_0425_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, walk , stove) (male1, walk , sink)"
