frame_index,Timestamp,frame_path,chars,action0,obj0,action1,obj1,Action Label
488,19.52,kitchen2/0/Action_0488_0_normal.png,2,stand ,stove,grab ,plate,"(female1, stand , stove) (male1, grab , plate)"
500,20,kitchen2/0/Action_0500_0_normal.png,2,stand ,stove,stand,kitchentable,"(female1, stand , stove) (male1, stand, kitchentable)"
513,20.52,kitchen2/0/Action_0513_0_normal.png,2,stand ,stove,walk ,kitchencounter,"(female1, stand , stove) (male1, walk , kitchencounter)"
525,21,kitchen2/0/Action_0525_0_normal.png,2,stand ,stove,walk ,sink,"(female1, stand , stove) (male1, walk , sink)"
538,21.52,kitchen2/0/Action_0538_0_normal.png,2,stand ,stove,walk ,sink,"(female1, stand , stove) (male1, walk , sink)"
550,22,kitchen2/0/Action_0550_0_normal.png,2,stand ,stove,stand ,sink,"(female1, stand , stove) (male1, stand , sink)"
563,22.52,kitchen2/0/Action_0563_0_normal.png,2,stand ,stove,stand ,sink,"(female1, stand , stove) (male1, stand , sink)"
575,23,kitchen2/0/Action_0575_0_normal.png,2,stand ,stove,put,"plate, sink","(female1, stand , stove) (male1, put, plate, sink)"
588,23.52,kitchen2/0/Action_0588_0_normal.png,2,stand ,stove,stand ,sink,"(female1, stand , stove) (male1, stand , sink)"
600,24,kitchen2/0/Action_0600_0_normal.png,2,stand ,stove,stand ,sink,"(female1, stand , stove) (male1, stand , sink)"
613,24.52,kitchen2/0/Action_0613_0_normal.png,2,stand ,stove,stand ,sink,"(female1, stand , stove) (male1, stand , sink)"
625,25,kitchen2/0/Action_0625_0_normal.png,2,stand ,stove,switchon,faucet,"(female1, stand , stove) (male1, switchon, faucet)"
638,25.52,kitchen2/0/Action_0638_0_normal.png,2,stand ,stove,stand,sink,"(female1, stand , stove) (male1, stand, sink)"
650,26,kitchen2/0/Action_0650_0_normal.png,2,stand ,stove,grab ,dishwashingliquid,"(female1, stand , stove) (male1, grab , dishwashingliquid)"
663,26.52,kitchen2/0/Action_0663_0_normal.png,2,stand ,stove,put,"dishwashingliquid, sink","(female1, stand , stove) (male1, put, dishwashingliquid, sink)"
675,27,kitchen2/0/Action_0675_0_normal.png,2,stand ,stove,stand, sink,"(female1, stand , stove) (male1, stand,  sink)"
688,27.52,kitchen2/0/Action_0688_0_normal.png,2,stand ,stove,switchoff,faucet,"(female1, stand , stove) (male1, switchoff, faucet)"
700,28,kitchen2/0/Action_0700_0_normal.png,2,stand ,stove,stand ,sink,"(female1, stand , stove) (male1, stand , sink)"
713,28.52,kitchen2/0/Action_0713_0_normal.png,2,stand ,stove,walk ,kitchencounter,"(female1, stand , stove) (male1, walk , kitchencounter)"
725,29,kitchen2/0/Action_0725_0_normal.png,2,stand ,stove,walk ,kitchencounter,"(female1, stand , stove) (male1, walk , kitchencounter)"
738,29.52,kitchen2/0/Action_0738_0_normal.png,2,stand ,stove,open,kitchencabinet,"(female1, stand , stove) (male1, open, kitchencabinet)"
750,30,kitchen2/0/Action_0750_0_normal.png,2,stand ,stove,grab ,plate,"(female1, stand , stove) (male1, grab , plate)"
763,30.52,kitchen2/0/Action_0763_0_normal.png,2,stand ,stove,grab ,plate,"(female1, stand , stove) (male1, grab , plate)"
775,31,kitchen2/0/Action_0775_0_normal.png,2,stand ,stove,put,"plate, kitchencabinet","(female1, stand , stove) (male1, put, plate, kitchencabinet)"
788,31.52,kitchen2/0/Action_0788_0_normal.png,2,stand ,stove,put,"plate, kitchencabinet","(female1, stand , stove) (male1, put, plate, kitchencabinet)"
800,32,kitchen2/0/Action_0800_0_normal.png,2,stand ,stove,grab ,cutleryknife,"(female1, stand , stove) (male1, grab , cutleryknife)"
813,32.52,kitchen2/0/Action_0813_0_normal.png,2,stand ,stove,grab ,cutleryknife,"(female1, stand , stove) (male1, grab , cutleryknife)"
825,33,kitchen2/0/Action_0825_0_normal.png,,stand ,stove,put,cutleryknife. Kitchencabinet,"(female1, stand , stove) (male1, put, cutleryknife. Kitchencabinet)"
838,33.52,kitchen2/0/Action_0838_0_normal.png,,stand ,stove,put,cutleryknife. Kitchencabinet,"(female1, stand , stove) (male1, put, cutleryknife. Kitchencabinet)"
850,34,kitchen2/0/Action_0850_0_normal.png,,stand ,stove,grab ,cutleryfork,"(female1, stand , stove) (male1, grab , cutleryfork)"
863,34.52,kitchen2/0/Action_0863_0_normal.png,,stand ,stove,put,"cutleryfork, kitchencabinet","(female1, stand , stove) (male1, put, cutleryfork, kitchencabinet)"
875,35,kitchen2/0/Action_0875_0_normal.png,,stand ,stove,put,"cutleryfork, kitchencabinet","(female1, stand , stove) (male1, put, cutleryfork, kitchencabinet)"
888,35.52,kitchen2/0/Action_0888_0_normal.png,,stand ,stove,stand,kitchencounter,"(female1, stand , stove) (male1, stand, kitchencounter)"
